uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
7b4afdc0f39d6fecb756bef4a310d58b,"El número de personas con trabajo aumentó en 180.000 más de lo previsto, dejando la tasa de desempleo en un mínimo de cuatro décadas del 3,8%, dijo la Oficina de Estadísticas Nacionales el martes.",Reino Unido crea empleos a ritmo impresionante pese al brexit,https://elespectador.com/economia/reino-unido-crea-empleos-ritmo-impresionante-pese-al-brexit-articulo-905192,elespectador,elespectador.com,8,16
21dd921bc9297b832aadcacd3880b6ff,"El alto tribunal encontró que un parágrafo de la ley de procedimiento de la JEP que decía que los terceros y agentes del Estado solo podrían ser aceptados en esa justicia especial por delitos “relacionados con financiar, patrocinar, promover o auspiciar” el conflicto, es inconstitucional.",Corte Constitucional tumba “listado” de delitos por los que civiles podían entrar en la JEP,https://elespectador.com/noticias/judicial/corte-constitucional-tumba-listado-de-delitos-por-los-que-civiles-podian-pedir-pista-en-la-jep-articulo-905233,elespectador,elespectador.com,9,24
c97a77837bb042f90dd1987b47120d5f,"La historia sobre los ricos de Manhattan y su relación con el narcotráfico internacional seguirá viva con los proyectos “Power Book II: Ghost”, “Power Book III: Raising Kanan”, “Power Book IV: Influence” y “Power Book V: Force”.",Rapero 50 Cent asegura series derivadas de “Power”,https://elespectador.com/entretenimiento/medios/rapero-50-cent-asegura-series-derivadas-de-power-articulo-905080,elespectador,elespectador.com,6,26
a5be51fffe3156af5119462fefdf3e15,"En la capital antioqueña se ha visto cómo las cifras de asesinatos han descendido en los últimos meses. Sin embargo, otras formas de criminalidad vienen creciendo, como los reportes de posible desaparición forzada.","Homicidios en baja, desapariciones en aumento: ¿qué está pasando en Medellín?",https://elespectador.com/noticias/judicial/homicidios-en-baja-desapariciones-en-aumento-que-esta-pasando-en-medellin-articulo-905023,elespectador,elespectador.com,6,18
56696738f7ca28720a705aefb81d1a28,"Ganador de una liga brasileña (2019) y una Copa Libertadores (2019), logradas en su primer año como profesional, Reinier se incorporará en principio al Castilla, filial del equipo, donde irá fogueándose a las órdenes de Raúl González Blanco.",El Real Madrid firmó a una nueva joya brasileña,https://elespectador.com/deportes/futbol-internacional/el-real-madrid-firmo-una-nueva-joya-brasilena-articulo-905221,elespectador,elespectador.com,6,21
b035ef11d04f512a91ee0b37f5de6cd0,Rosneft maneja más de la mitad del petróleo proveniente de Venezuela y según funcionarios estadounidenses ayuda al gobierno de Nicolás Maduro a evadir las sanciones.,"Guaidó califica de ""victoria"" sanción de Estados Unidos contra filial de petrolera rusa",https://elespectador.com/noticias/el-mundo/guaido-califica-de-victoria-sancion-de-estados-unidos-contra-filial-de-petrolera-rusa-articulo-905241,elespectador,elespectador.com,8,15
b2e14a900f11b24393ffdbbd6800d9cb,"Servicio al cliente: LÍNEA NACIONAL 01 8000 510903. EN BOGOTÁ: 4055540, [email protected]",tolima40jpg 1,https://elespectador.com/files/tolima40jpg-1,elespectador,elespectador.com,0,7
21e7abb0365bb917e455f4bef6139f30,"El video se volvió viral en pocas horas pues recuerda la afamada película ""La vida es bella"".",El padre que inventó un juego para que su hija no se asuste con los bombardeos en Siria ,https://elespectador.com/noticias/actualidad/el-padre-que-invento-un-juego-para-que-su-hija-no-se-asuste-con-los-bombardeos-en-siria-articulo-905173,elespectador,elespectador.com,7,11
826fe32b3657575ddce93947b016b2b2,"Servicio al cliente: LÍNEA NACIONAL 01 8000 510903. EN BOGOTÁ: 4055540, [email protected]",ereed0gxkaasyrjpeg,https://elespectador.com/files/ereed0gxkaasyrjpeg,elespectador,elespectador.com,0,7
b20d5375e0abd86e24ed33efded774cb,La hipótesis de la investigación que llevan las autoridades es que se trató de una explosión accidental de un vehículo que trasladaba ilegalmente explosivos en la vía Panamericana.,"Explosión en Rosas (Cauca) pudo ser accidental, dice mindefensa",https://elespectador.com/noticias/judicial/explosion-en-rosas-cauca-pudo-ser-accidental-dice-mindefensa-articulo-905234,elespectador,elespectador.com,8,13
4f8cd3aefdb5ec57fe417661c2709c2f,"Varios de los pobladores, que tuvieron que salir desplazados, aseguran que la acción de las Farc, ocurrida el 4 de abril de 2001, fue producto del abandono tanto del Estado como de las Fuerzas Militares, que cerraron una dependencia militar que quedaba en las cercanías al pueblo.",La lucha de Ataco (Tolima) para que el Estado responda por toma guerrillera,https://elespectador.com/noticias/judicial/la-lucha-de-ataco-tolima-para-que-el-estado-responda-por-toma-guerrillera-articulo-905104,elespectador,elespectador.com,6,19
d3b087d0deb1af3828b5dda57f0c1b8a,"De frente, uno de los rivales más fuertes: Inter de Porto Alegre de Brasil.",Tolima buscará su tiquete a la fase de grupos de la Copa Libertadores,https://elespectador.com/deportes/futbol-internacional/tolima-buscara-su-tiquete-la-fase-de-grupos-de-la-copa-libertadores-articulo-905211,elespectador,elespectador.com,7,7
