body,title,url
"





Santa Marta

03:20 p.m. 




                            Los rostros de quienes habrían matado a 3 hombres por ofender a mujer
                        


Las tres víctimas eran miembros de una misma familia. La Policía ofrec ...












Cauca

03:14 p.m. 




                            'Vehículo que explotó en el Cauca sí llevaba explosivos': Mindefensa
                        


Según Carlos Holmes Trujillo, aerovan afiliada a la empresa Supertaxis ...














Explosión

03:13 p.m. 




                            Bus que estalló en Cauca salió de la Terminal en Pasto e iba para Cali
                        












Comuna 13 de Medellín

03:04 p.m. 




                            Preocupación en la Comuna 13 por 6 muertes violentas en 48 horas
                        












Defensa propia

03:02 p.m. 




                            Hombre mató a presunto ladrón que habría robado a su hijo
                        









","
La historia del padre que le enseñó a su hija a reírse de las bombas
",https://www.eltiempo.com/politica/gobierno/quienes-son-los-colombianos-que-estan-en-wuhan-463008
"El expresidente Álvaro Uribe aclaró este martes las dudas que han surgido en varios sectores tras la publicación de su declaración renta este lunes, cumpliendo con la obligación que tienen los congresistas y altos funcionarios del Estado, a partir de este año de hacer público este documento.",Uribe explica valores de su declaración de renta y de bienes,https://www.eltiempo.com/politica/partidos-politicos/declaracion-de-renta-alvaro-uribe-explicacion-de-lo-declarado-463514
"Si bien la policía no ha ordenado la búsqueda de la mujer que la noche del desfile de La Guacherna acosó con un baile erótico, abrazos y besos a un uniformado, si advirtió que es un comportamiento que puede ser sancionado y merecedor de una multa “Injuria por vía de hecho o también un acto sexual abusivo ya que el sujeto pasivo no actúa como se puede observar en el video”, explicó el comandante operativo de la Policía Metropolitana de Barranquilla,  coronel Yecid Peña,  serían los delitos que se le podrían formular a la desconocida, cuya actuación fue grabada por personas que estaban en el público,  y repudiada por cientos de barranquilleros que calificaron como un abuso e irrespeto a la autoridad.",Las razones por las que mujer que acosó a Policía sería sancionada,https://www.eltiempo.com/colombia/barranquilla/mujer-que-acoso-a-policia-en-desfile-de-carnaval-de-barranquilla-463366
"Una interrupción voluntaria de embarazo (IVE) practicada a los siete meses de gestación en la ciudad de Popayán a una joven amparada por una de las tres causales en las que la Corte Constitucional despenalizó el aborto en el 2006 volvió a encender una vieja polémica en el país.En concreto, la mujer de 23 años, después de una valoración psicológica que le diagnosticó alteraciones psiquiátricas mayores incrementadas por el embarazo, se acogió a la sentencia C-355 del 2006 y acudió a la ruta que para el efecto tiene el sistema de salud.",Aborto: las lecciones del caso de Popayán bajo la ciencia y la ley,https://www.eltiempo.com/salud/aborto-las-lecciones-del-caso-de-popayan-bajo-la-ciencia-y-la-ley-462648
"17 días después del apagón de Uber, los usuarios de aplicaciones de transporte compartido continúan utilizando estos servicios a pesar de las amenazas de que las otras apps también serán demandadas. Mientras tanto, las apps, Cabify, Didi y Beat han realizado anuncios recientes y han reportado aumentos en la cantidad de descargas y en el uso de sus servicios. ",Descargas de aplicaciones han aumentado tras el adiós de Uber,https://www.eltiempo.com/tecnosfera/novedades-tecnologia/en-que-va-el-tema-de-uber-en-colombia-463078
"El tiempo de juego efectivo en el fútbol colombiano sigue siendo tema de preocupación. Este martes, la Dimayor publicó su balance de las primeras cuatro fechas de la Liga, en un escalafón en el que se evidencia que hay promedio muy bajos, como los de América, el actual campeón, que no llega a los 47 minutos de juego efectivo. ",Escalafón de los equipos que menos tiempo efectivo juegan en la Liga,https://www.eltiempo.com/deportes/futbol-colombiano/escalafon-de-promedios-de-tiempo-real-de-juego-en-la-liga-betplay-publicados-por-la-dimayor-463528
"Sin saber si el Mate 30 Pro vea la luz más allá de las fronteras de China, el nuevo teléfono de Huawei tiene un aire misterioso. No solo porque es el más reciente modelo de la línea 'premium' del fabricante, que incluye sus mejores características en un solo lugar, o porque se ha convertido en objeto de deseo entre la prensa especializada, sino porque se trata del primer gran equipo de la marca que llega después de las dificultades y restricciones de software con EE. UU.",Así funciona el nuevo Huawei Mate 30 pro que llega a Colombia,https://www.eltiempo.com/tecnosfera/dispositivos/huawei-mate-30-pro-caracteristicas-del-celular-sin-el-android-de-google-434752
"Una niña de 12 años grabó en video los abusos sexuales, físicos y psicológicos a los cuales era sometida por parte de su tío. Luego de mucho anunciar la situación y no ser escuchada, decidió retratar una prueba contundente del delito.",Niña de 12 años grabó cómo la abusaba su tío en Argentina,https://www.eltiempo.com/mundo/latinoamerica/nina-graba-como-fue-abusada-por-su-tio-leandro-martinez-en-argentina-463168
"





Cali

03:35 p.m. 




                            Cortes en el suministro de agua en comuna 18 de la ciudad
                        


Emcali invitó a la ciudadanía a que, al aprovisionar agua, sea para la ...












Barranquilla

03:34 p.m. 




                            Estos son los controles de Barranquilla en los carnavales
                        


El Distrito expidió los decretos para garantizar el orden público dura ...














Santa Marta

03:20 p.m. 




                            Los rostros de quienes habrían matado a 3 hombres por ofender a mujer
                        












Cauca

03:14 p.m. 




                            'Vehículo que explotó en el Cauca sí llevaba explosivos': Mindefensa
                        












Explosión

03:13 p.m. 




                            Bus que estalló en Cauca salió de la Terminal en Pasto e iba para Cali
                        









","
La historia del padre que le enseñó a su hija a reírse de las bombas
",https://www.eltiempo.com/justicia/delitos/las-colombianas-mas-buscadas-por-interpol-462552
"





Aeropuertos colombianos

03:43 p.m. 




                            Las 5 pistas de aterrizaje más complejas para los pilotos en Colombia
                        


Pese a las buenas condiciones para volar, llegar a estos aeropuertos e ...












Cali

03:35 p.m. 




                            Cortes en el suministro de agua en comuna 18 de la ciudad
                        


Emcali invitó a la ciudadanía a que, al aprovisionar agua, sea para la ...














Barranquilla

03:34 p.m. 




                            Estos son los controles de Barranquilla en los carnavales
                        












Santa Marta

03:20 p.m. 




                            Los rostros de quienes habrían matado a 3 hombres por ofender a mujer
                        












Cauca

03:14 p.m. 




                            'Vehículo que explotó en el Cauca sí llevaba explosivos': Mindefensa
                        









","Bojayá por fin sepultó a sus muertos, pero el duelo no termina",https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/masacre-de-bojaya-cuerpos-identificados-seran-velados-y-enterrados-428160
