body,title,url
"





ELN

02:25 p.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        


En el Cauca y en Norte de Santander ya han ocurrido varios hechos viol ...












carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...














Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        












Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","
Los equipos excluidos por la Uefa de competiciones europeas
",https://www.eltiempo.com/mundo/asia/coronavirus-fotos-de-china-y-ciudades-vacias-como-wuhan-461726
"Autoridades confirmaron que cinco colombianos y un brasilero fueron encontrados sin vida en la tarde de este jueves en la población de Lupita, territorio peruano.Trascendió que estas personas residen en Puerto Leguízamo, en Putumayo, municipio que queda al frente de Lupita, cuya división territorial es el río Putumayo.",Disidencias estarían detrás de masacre en la frontera con Perú,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/masacre-en-la-frontera-colombo-peruana-deja-seis-personas-muertas-462122
"Las Clásicas del Amor ofrecerán el próximo 29 de febrero, en el Teatro Colón, de Bogotá, el Tributo a Camilo Sesto y José José, en asocio con EL TIEMPO. ","Tributo a Camilo Sesto y José José, el 29 de febrero",https://www.eltiempo.com/cultura/musica-y-libros/tributo-a-camilo-sesto-y-jose-jose-el-29-de-febrero-461950
"Para el ministro de Hacienda, Alberto Carrasquilla, “este es un país que tiene una estructura tributaria de un país muy pobre” que choca con la nueva realidad: “Ya no somos un país muy pobre; somos un país de ingreso medio que está en expansión”.",MinHacienda: 'aquí se pagan impuestos de país muy pobre y no lo somos',https://www.eltiempo.com/politica/gobierno/alberto-carrasquilla-dice-que-aqui-pagamos-impuestos-de-pais-muy-pobre-y-ya-no-lo-somos-461948
"Como parte de los acuerdos establecidos en La Habana, el presidene Iván Duque firmó un decreto que fija como fecha límite el 31 de julio de este año para que Farc haga la entrega total de los bienes y activos inventariados el 15 de agosto de 2017.",Gobierno fija fecha límite de entrega total de los bienes de Farc,https://www.eltiempo.com/politica/proceso-de-paz/gobierno-fija-la-fecha-limite-de-entrega-de-bienes-de-farc-para-el-31-de-julio-de-2020-461988
"Gula, en el barrio bogotano 7 de Agosto, acaba de cumplir un año con una carta de pocos pero abundantes bocados centrados en dos proteínas principales: cerdo y pollo.",Empanadas de ajiaco y otros bocados de Gula,https://www.eltiempo.com/cultura/gastronomia/empanadas-de-ajiaco-y-bocados-de-gula-restaurante-del-siete-de-agosto-461892
"Aunque no hay ninguna amenaza concreta sobre algún atentado que tenga previsto cometer el Eln en Bogotá, las autoridades no se confían y desplegaron un robusto operativo de seguridad para blindar la ciudad, que ya ha sido objeto de algunos ataques, como el ocurrido el 17 de enero del 2019 en la Escuela de Policía General Santander, en el que murieron 22 cadetes.",Bogotá se blinda ante posible amenaza terrorista,https://www.eltiempo.com/bogota/bogota-se-blinda-ante-posible-amenaza-terrorista-462042
"





Música

02:30 p.m. 




                            Paula Arenas representará a Colombia en Viña del Mar 2020
                        


'Buena para nada’ es la canción que llevará al festival. ...












ELN

02:25 p.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        


En el Cauca y en Norte de Santander ya han ocurrido varios hechos viol ...














carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        












Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        









",Viajes para renacer,https://www.eltiempo.com/vida/viajar/turismo-en-el-posconflicto-en-tres-regiones-de-colombia-424272
"





carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        


El hecho ocurrió en la comuna 13. Alcalde Daniel Quintero lamentó la s ...














Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












ELN

11:09 a.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","
San Valentín y los memes que rompieron las redes esta semana
",https://www.eltiempo.com/tecnosfera/novedades-tecnologia/sinot-agua-fotos-del-primer-yate-movido-por-hidrogeno-461526
"Andrés Fernando Bustamante Osorno, alias Tréllez, fue capturado y deberá responder frente a la justicia por los cargos de tentativa de homicidio y concierto para delinquir agravado. El hombre es señalado como el cabecilla de la banda delincuencial 'La Oficina' y era buscado desde el 2018 por ser el jefe de este grupo criminal. La noticia de su captura fue dada a conocer por el presidente Iván Duque en medio del encuentro de gabinetes desarrollado en Medellín, llevado acabo este miércoles 12 de febrero. El mandatario señaló que “este delincuente era la cabeza de esa estructura criminal y el trabajo de las autoridades ha sido contundente”.","El prontuario de 'Tréllez', el temido jefe de 'La Oficina' en Medellín",https://www.eltiempo.com/colombia/medellin/quien-es-alias-trellez-jefe-de-la-oficina-capturado-en-medellin-461766
